E	K_beta
53.5	1.70524E-4
53.6	1.72473E-4
53.7	1.74274E-4
53.8	1.75923E-4
53.9	1.77415E-4
54	1.7875E-4
54.1	1.79925E-4
54.2	1.80938E-4
54.3	1.8179E-4
54.4	1.8248E-4
54.5	1.83011E-4
54.6	1.83385E-4
54.7	1.83604E-4
54.8	1.83672E-4
54.9	1.83594E-4
55	1.83377E-4
55.1	1.83027E-4
55.2	1.82552E-4
55.3	1.81961E-4
55.4	1.81266E-4
55.5	1.80476E-4
55.6	1.79607E-4
55.7	1.7867E-4
55.8	1.77684E-4
55.9	1.76664E-4
56	1.75631E-4
56.1	1.74605E-4
56.2	1.73609E-4
56.3	1.72667E-4
56.4	1.71808E-4
56.5	1.71058E-4
56.6	1.70451E-4
56.7	1.70019E-4
56.8	1.69799E-4
56.9	1.69827E-4
57	1.70144E-4
57.1	1.70792E-4
57.2	1.71813E-4
57.3	1.73253E-4
57.4	1.75157E-4
57.5	1.7757E-4
57.6	1.80537E-4
57.7	1.84102E-4
57.8	1.88306E-4
57.9	1.93188E-4
58	1.98781E-4
58.1	2.05113E-4
58.2	2.12207E-4
58.3	2.20075E-4
58.4	2.28723E-4
58.5	2.38144E-4
58.6	2.4832E-4
58.7	2.59222E-4
58.8	2.70808E-4
58.9	2.8302E-4
59	2.9579E-4
59.1	3.09035E-4
59.2	3.22659E-4
59.3	3.36556E-4
59.4	3.50609E-4
59.5	3.64695E-4
59.6	3.78685E-4
59.7	3.92449E-4
59.8	4.0586E-4
59.9	4.18798E-4
60	4.31153E-4
60.1	4.42835E-4
60.2	4.53774E-4
60.3	4.6393E-4
60.4	4.73297E-4
60.5	4.8191E-4
60.6	4.89846E-4
60.7	4.97234E-4
60.8	5.04253E-4
60.9	5.11133E-4
61	5.18155E-4
61.1	5.25647E-4
61.2	5.33974E-4
61.3	5.4353E-4
61.4	5.54722E-4
61.5	5.67954E-4
61.6	5.83611E-4
61.7	6.02033E-4
61.8	6.23501E-4
61.9	6.48216E-4
62	6.76287E-4
62.1	7.07721E-4
62.2	7.42419E-4
62.3	7.80186E-4
62.4	8.20739E-4
62.5	8.63735E-4
62.6	9.08795E-4
62.7	9.55542E-4
62.8	0.001
62.9	0.00105
63	0.0011
63.1	0.00115
63.2	0.00121
63.3	0.00126
63.4	0.00131
63.5	0.00137
63.6	0.00143
63.7	0.00149
63.8	0.00156
63.9	0.00162
64	0.0017
64.1	0.00177
64.2	0.00186
64.3	0.00194
64.4	0.00203
64.5	0.00212
64.6	0.00222
64.7	0.00231
64.8	0.00241
64.9	0.00251
65	0.00261
65.1	0.0027
65.2	0.0028
65.3	0.0029
65.4	0.003
65.5	0.0031
65.6	0.00321
65.7	0.00331
65.8	0.00342
65.9	0.00353
66	0.00364
66.1	0.00376
66.2	0.00389
66.3	0.00401
66.4	0.00414
66.5	0.00427
66.6	0.0044
66.7	0.00453
66.8	0.00466
66.9	0.00479
67	0.00491
67.1	0.00502
67.2	0.00513
67.3	0.00523
67.4	0.00533
67.5	0.00541
67.6	0.00549
67.7	0.00557
67.8	0.00564
67.9	0.00571
68	0.00577
68.1	0.00584
68.2	0.00591
68.3	0.00599
68.4	0.00607
68.5	0.00616
68.6	0.00625
68.7	0.00636
68.8	0.00647
68.9	0.00658
69	0.0067
69.1	0.00682
69.2	0.00695
69.3	0.00706
69.4	0.00717
69.5	0.00727
69.6	0.00736
69.7	0.00742
69.8	0.00747
69.9	0.00749
70	0.00749
70.1	0.00747
70.2	0.00742
70.3	0.00735
70.4	0.00726
70.5	0.00715
70.6	0.00704
70.7	0.00691
70.8	0.00679
70.9	0.00666
71	0.00654
71.1	0.00642
71.2	0.0063
71.3	0.00619
71.4	0.00607
71.5	0.00594
71.6	0.00579
71.7	0.00562
71.8	0.00542
71.9	0.00519
72	0.00493
72.1	0.00463
72.2	0.0043
72.3	0.00395
72.4	0.00358
72.5	0.00321
72.6	0.00283
72.7	0.00247
72.8	0.00213
72.9	0.00181
73	0.00152
73.1	0.00127
73.2	0.00105
73.3	8.65361E-4
73.4	7.09955E-4
73.5	5.82429E-4
73.6	4.793E-4
73.7	3.96927E-4
73.8	3.31773E-4
73.9	2.80586E-4
74	2.4051E-4
74.1	2.09125E-4
74.2	1.84445E-4
74.3	1.6489E-4
74.4	1.49225E-4
74.5	1.36508E-4
74.6	1.26029E-4
74.7	1.17259E-4
74.8	1.09807E-4
74.9	1.03383E-4
75	9.77711E-5
75.1	9.28118E-5
75.2	8.83835E-5
75.3	8.43936E-5
75.4	8.07702E-5
75.5	7.7457E-5
75.6	7.44092E-5
75.7	7.15901E-5
75.8	6.89717E-5
75.9	6.65278E-5
76	6.42417E-5
76.1	6.2095E-5
76.2	6.00739E-5
76.3	5.81663E-5
76.4	5.63621E-5
76.5	5.46524E-5
76.6	5.30295E-5
76.7	5.14867E-5
76.8	5.00179E-5
76.9	4.86178E-5
77	4.72817E-5
77.1	4.60052E-5
77.2	4.47845E-5
77.3	4.3616E-5
77.4	4.24965E-5
77.5	4.1423E-5
77.6	4.03929E-5
77.7	3.94037E-5
77.8	3.8453E-5
77.9	3.75387E-5
78	3.6659E-5
78.1	3.58118E-5
78.2	3.49956E-5
78.3	3.42087E-5
78.4	3.34497E-5
78.5	3.27172E-5
78.6	3.20099E-5
78.7	3.13266E-5
78.8	3.06661E-5
78.9	3.00275E-5
79	2.94096E-5
79.1	2.88117E-5
79.2	2.82327E-5
79.3	2.76718E-5
79.4	2.71283E-5
79.5	2.66014E-5
79.6	2.60905E-5
79.7	2.55947E-5
79.8	2.51137E-5
79.9	2.46466E-5
80	2.4193E-5
80.1	2.37524E-5
80.2	2.33242E-5
80.3	2.29079E-5
80.4	2.25031E-5
80.5	2.21094E-5
80.6	2.17263E-5
80.7	2.13534E-5
80.8	2.09905E-5
80.9	2.0637E-5
81	2.02927E-5
81.1	1.99573E-5
81.2	1.96304E-5
81.3	1.93118E-5
81.4	1.90011E-5
81.5	1.86981E-5
81.6	1.84025E-5
81.7	1.81141E-5
81.8	1.78326E-5
81.9	1.75579E-5
82	1.72896E-5
82.1	1.70277E-5
82.2	1.67718E-5
82.3	1.65218E-5
82.4	1.62775E-5
82.5	1.60388E-5
82.6	1.58054E-5
82.7	1.55772E-5
82.8	1.53541E-5
82.9	1.51358E-5
83	1.49223E-5
83.1	1.47134E-5
83.2	1.4509E-5
83.3	1.43089E-5
83.4	1.4113E-5
83.5	1.39213E-5
83.6	1.37335E-5
83.7	1.35495E-5
83.8	1.33694E-5
83.9	1.31928E-5
84	1.30199E-5
84.1	1.28504E-5
84.2	1.26842E-5
84.3	1.25214E-5
84.4	1.23617E-5
84.5	1.22051E-5
84.6	1.20515E-5
84.7	1.19009E-5
84.8	1.17532E-5
84.9	1.16082E-5
85	1.1466E-5
85.1	1.13264E-5
85.2	1.11894E-5
85.3	1.10549E-5
85.4	1.09229E-5
85.5	1.07933E-5
